condition_id,condition_name,condition_description,encounter_id
F462CF64F8CEA989E65BC22FA1CE401A,Diabetes,A chronic condition characterized by high blood sugar levels,
2890F52C8AF46D87187E16C363CDE416,Hypertension,A chronic condition characterized by high blood pressure,
70774436101AE3178BDB5192913A37D2,Asthma,"A chronic condition characterized by recurring episodes of wheezing, coughing, and shortness of breath",
29BD4CA04E371C8D4292448B755AD769,Cancer,A group of diseases characterized by the uncontrolled growth and spread of abnormal cells,
8D9BBDFF0E23A8F8C737B73F35E8EFD0,Heart Disease,A group of conditions that affect the heart and blood vessels,
6646551F90DC34EFD350F57E49A2B671,Chronic Obstructive Pulmonary Disease (COPD),A progressive lung disease characterized by chronic bronchitis and emphysema,
93F1262045E81DFDF78761B5182E93B6,Kidney Disease,A group of conditions that affect the kidneys,
511E6F09F6E29E42AA06146DBFF0F509,Stroke,A medical condition characterized by the sudden loss of brain function due to a blockage or rupture of blood vessels,
D2B72A8D79655FA27A00FAE7918515D5,Pneumonia,An infection that inflames the air sacs in the lungs,
0DC191BE60F22B25F0A5F8BD804B9F1D,Chronic Pain,Persistent pain that lasts for an extended period of time,
6DCD02DBC596B3AEA40B3DD270E3AAE1,Depression,A mental health condition characterized by persistent feelings of sadness and loss of interest,
BC15D2FFF3EBC1BC41CDBF1F42895033,Anxiety,"A mental health condition characterized by excessive worry, fear, and nervousness",
B5CE6B2BDA0F027F76B169C783EAB922,Alzheimer's Disease,A progressive neurodegenerative disorder that affects memory and cognitive function,
EC12B9301D3973FAA6E14CD2A056B4E3,Parkinson's Disease,A progressive neurodegenerative disorder that affects movement and motor skills,
5EE23509445C62C1DB21E048A9EEE041,Irritable Bowel Syndrome (IBS),A gastrointestinal disorder characterized by abdominal pain and changes in bowel habits,
01F3A706827282526146571D30AADD85,Osteoporosis,A condition characterized by weakened bones and an increased risk of fractures,
F2444F9C62E886BFBFEE6111B4263722,Rheumatoid Arthritis,An autoimmune disorder that causes chronic inflammation of the joints,
D383CA4AA21F8E10333667AA5C42BCCD,Epilepsy,A neurological disorder characterized by recurrent seizures,
C4C26DB730F1C64128ECA751374EBF78,Multiple Sclerosis,An autoimmune disorder that affects the central nervous system,
1A077D1F054053D5505D131B4333318D,Chronic Kidney Disease,A gradual loss of kidney function over time,
8548533D6B965469A0680D2C23B57A9B,Chronic Liver Disease,A group of conditions that affect the liver and its function,
FFBF9EAC2856676BA02DEEA0FD4EED26,Chronic Pain Syndrome,A complex condition characterized by persistent pain and associated physical and psychological symptoms,
76F9A0FC38A3779BC4716329F1DE30E9,Bipolar Disorder,A mental health condition characterized by extreme mood swings between mania and depression,
50434C3B73C97BEEAEC1BD649A12D2A1,Schizophrenia,"A chronic and severe mental health condition that affects how a person thinks, feels, and behaves",
5F41381756E72CE6938C124A73E26200,Chronic Obstructive Pulmonary Disease (COPD),A progressive lung disease characterized by chronic bronchitis and emphysema,
E982DE84403C28A4F81704F7B5A62681,Asthma,"A chronic condition characterized by recurring episodes of wheezing, coughing, and shortness of breath",
90DA1674C2EA3186993C28A9570D7A57,Cancer,A group of diseases characterized by the uncontrolled growth and spread of abnormal cells,
32673BBC3CF55F09D78EE30F8F840907,Heart Disease,A group of conditions that affect the heart and blood vessels,
8675B973CC06E6D094B8F9541C74F0CF,Stroke,A medical condition characterized by the sudden loss of brain function due to a blockage or rupture of blood vessels,
BF9F697AAA3094D3D5F919AD717962F2,Pneumonia,An infection that inflames the air sacs in the lungs,
9FD1D6729467DD96E623B80D84868E93,Arthritis,A group of conditions that affect the joints and surrounding tissues,
3A6E22C22CF5325FD3C23521E7D5907C,Chronic Pain,Persistent pain that lasts for an extended period of time,
B296CBF2303F1E1CE0433FEF1EEFC498,Depression,A mental health condition characterized by persistent feelings of sadness and loss of interest,
9855044A975B13CA3883C84FD6B3FB16,Chronic Obstructive Pulmonary Disease (COPD),A progressive lung disease characterized by chronic bronchitis and emphysema,
520F04D440E7251CA2D70BB27DCE4975,Chronic Fatigue Syndrome,A complex and debilitating condition characterized by persistent fatigue,
49ECCBA83AB3A8A069899DFDBEEE900D,Diabetes,A chronic condition characterized by high blood sugar levels,
CFF084E241E37BE28D8715954D767A2D,Arthritis,A group of conditions that affect the joints and surrounding tissues,
DE696C25221EEC9728870A88103FB5EB,Migraine,"A type of severe, recurring headache that can cause significant pain and disability",
9EF1A3C10E1ACA52858A1687CB22DEB0,Chronic Obstructive Pulmonary Disease (COPD),A progressive lung disease characterized by chronic bronchitis and emphysema,
B025EC40C1AE1F6A85C8094C4766E39A,Chronic Pain,Persistent pain that lasts for an extended period of time,
569C50BE31EE030D5CBD8EA16C851E29,Hypertension,A chronic condition characterized by high blood pressure,
8203222A7F01C751F335D91BE5C2C172,Anxiety,"A mental health condition characterized by excessive worry, fear, and nervousness",
E65DC88801CAE1CA3CE75C7B38DBB2DD,Parkinson's Disease,A progressive neurodegenerative disorder that affects movement and motor skills,
10F7C4BC26CC3DF0586D048C4A9660CA,Chronic Fatigue Syndrome,A complex and debilitating condition characterized by persistent fatigue,
0CBB1695085AD3F5D7E575E22B2370EF,Irritable Bowel Syndrome (IBS),A gastrointestinal disorder characterized by abdominal pain and changes in bowel habits,
D655EAD1EC5B1F27C250E236CB3275DD,Osteoporosis,A condition characterized by weakened bones and an increased risk of fractures,
01F3C6EB77E6A3A9A556861D9A28A37F,Migraine,"A type of severe, recurring headache that can cause significant pain and disability",
7929C9B2DB45C0718950116329075DE0,Chronic Obstructive Pulmonary Disease (COPD),A progressive lung disease characterized by chronic bronchitis and emphysema,
63B8565101F63F8494A4B12E87DD4E55,Alzheimer's Disease,A progressive neurodegenerative disorder that affects memory and cognitive function,
48F53EF3AA7BF69511FA7C1D785DE19E,Kidney Disease,A group of conditions that affect the kidneys,
